event_id,user_id,title_id,watch_date,watch_hour,device_type,minutes_watched,completed
45,1466,447,2024-12-18,0,TV,76,1
46,266,382,2022-06-18,14,Mobile,127,1
47,1288,201,2022-12-01,9,TV,45,0
48,1757,331,2022-05-23,12,Web,18,0
49,257,448,2023-09-16,15,TV,91,1
50,1678,126,2023-04-23,10,Web,60,0
51,211,396,2023-10-23,9,Mobile,136,1
52,1743,499,2022-11-12,12,TV,82,1
53,1578,173,2023-08-01,22,TV,133,1
54,304,445,2023-05-29,2,Mobile,126,1
55,1453,12,2022-11-07,8,Web,39,0
56,234,187,2024-07-14,16,TV,117,1
57,1137,139,2024-07-30,11,Mobile,151,1
58,1848,15,2022-04-25,20,Tablet,46,0
59,412,302,2022-11-19,6,Mobile,153,1
60,348,265,2022-10-13,2,Web,114,1
61,846,190,2022-10-31,5,TV,46,0
62,738,433,2022-05-05,18,TV,158,1
63,97,125,2023-03-01,14,Web,39,0
64,912,411,2023-11-29,10,Web,31,0
65,520,318,2023-02-13,5,Mobile,68,0
66,249,449,2023-11-14,18,Mobile,160,1
67,553,4,2022-03-19,7,TV,46,0
68,42,485,2024-07-18,12,TV,85,1
69,1831,2,2023-07-23,19,TV,67,1
70,1989,357,2024-03-09,5,TV,42,0
71,736,377,2023-06-20,9,TV,175,1
72,1754,82,2024-02-05,9,Mobile,119,1
73,923,18,2023-09-11,2,TV,78,1
74,1825,19,2022-06-25,2,TV,61,1
75,347,65,2022-09-09,5,Tablet,41,0
76,570,76,2024-06-16,0,TV,63,1
77,1480,484,2023-01-08,10,Mobile,119,1
78,441,101,2022-01-09,0,Tablet,63,0
79,1648,403,2023-07-28,14,Mobile,103,1
80,852,31,2024-02-22,23,TV,143,1
81,808,328,2024-07-22,12,TV,134,1
82,907,227,2024-06-10,23,TV,146,1
83,1596,271,2024-10-29,12,Web,155,1
84,12,392,2022-09-06,0,Mobile,79,1
85,1502,105,2024-02-22,9,Web,166,1
86,1559,3,2022-12-08,4,Mobile,169,1
87,1643,111,2024-08-17,11,TV,28,0
88,1994,402,2022-09-23,11,TV,108,1
89,1565,296,2024-02-23,17,Mobile,20,0
90,1058,463,2024-06-16,15,TV,143,1
91,933,418,2023-10-12,4,TV,6,0
92,777,76,2023-04-06,4,Mobile,59,0
93,1655,29,2023-05-25,3,TV,81,1
94,786,11,2023-02-02,5,TV,97,1
95,1146,95,2022-05-07,23,Mobile,48,0
96,193,240,2023-07-04,12,TV,169,1
97,635,9,2023-10-25,5,Web,169,1
98,533,435,2024-03-10,1,Web,129,1
99,871,240,2022-03-06,12,Mobile,13,0
100,1005,369,2023-12-25,12,Tablet,179,1
101,1433,437,2022-11-13,14,Mobile,148,1
102,864,18,2024-02-14,21,TV,58,0
103,301,217,2023-06-29,9,TV,114,1
104,1091,337,2024-11-03,23,Web,26,0
105,110,499,2022-04-29,11,Mobile,114,1
106,1699,409,2022-10-07,12,Web,110,1
107,1542,109,2024-02-28,22,TV,63,0
108,451,136,2022-08-15,8,TV,162,1
109,527,400,2022-10-04,1,TV,53,0
110,56,327,2023-12-13,18,Mobile,126,1
111,729,125,2023-07-15,14,Web,167,1
112,77,247,2022-06-09,21,Mobile,158,1
113,1873,465,2022-12-24,21,TV,23,0
114,269,103,2023-12-06,11,TV,99,1
115,1319,165,2022-03-14,16,TV,16,0
116,1141,451,2024-11-12,20,TV,55,1
117,474,337,2023-03-14,18,Mobile,115,1
118,1617,112,2023-05-18,10,TV,112,1
119,218,144,2023-12-21,10,Web,106,1
120,1774,421,2022-08-24,10,TV,19,0
121,1481,141,2023-09-08,17,TV,59,1
122,1271,351,2024-12-25,13,Mobile,128,1
123,1760,248,2024-11-16,3,TV,114,1
124,807,111,2023-02-24,10,Web,89,0
125,564,185,2024-12-21,8,Mobile,61,0
126,310,356,2022-05-05,6,Mobile,35,0
127,1849,402,2024-09-12,21,Mobile,151,1
128,803,14,2023-04-01,20,TV,46,0
129,1659,453,2022-12-10,14,Mobile,158,1
130,665,119,2022-04-06,22,Mobile,45,0
131,1910,325,2023-11-10,4,Web,121,1
132,1741,143,2022-04-02,13,Mobile,16,0
133,617,134,2024-03-10,16,Mobile,123,1
134,974,445,2022-02-22,18,TV,9,0
135,1588,351,2023-07-29,9,Mobile,90,1
136,453,458,2023-05-13,5,Mobile,145,1
137,48,11,2024-12-18,9,TV,178,1
138,578,136,2023-05-18,16,Mobile,96,1
139,1182,25,2022-12-13,22,Mobile,74,1
140,273,238,2024-03-14,7,TV,171,1
141,667,231,2024-08-08,8,TV,18,0
142,1838,491,2023-08-19,4,Web,116,1
143,151,116,2024-04-10,8,Mobile,94,1
144,101,333,2024-07-30,11,Mobile,7,0
145,848,498,2023-05-19,13,Mobile,145,1
146,26,35,2024-08-13,0,TV,95,1
147,56,223,2024-05-26,3,Mobile,13,0
148,366,196,2022-07-07,6,TV,164,1
149,205,14,2023-04-18,11,TV,168,1
150,1622,211,2022-02-15,5,Tablet,117,1
151,246,127,2024-04-20,2,TV,155,1
152,1047,154,2024-02-13,11,TV,123,1
153,1411,107,2022-02-13,23,Mobile,31,0
154,1252,260,2022-01-11,11,Web,123,1
155,1308,200,2023-10-27,21,Mobile,85,1
156,716,369,2023-03-08,16,Mobile,48,0
157,1778,177,2022-02-18,18,Mobile,87,0
158,138,346,2022-03-01,2,TV,95,1
159,215,264,2024-08-06,18,TV,141,1
160,1713,176,2023-05-18,10,Mobile,41,0
161,137,412,2024-04-09,19,Mobile,100,1
162,384,369,2023-05-08,1,Web,132,1
163,347,263,2024-10-04,6,TV,172,1
164,67,268,2024-07-15,19,TV,80,0
165,235,382,2024-09-18,1,Mobile,107,1
166,1146,385,2023-12-08,21,Mobile,12,0
167,1323,357,2022-01-16,4,Mobile,47,0
168,167,57,2023-03-17,23,Web,72,0
169,1885,116,2022-04-18,20,TV,104,1
170,192,203,2023-07-12,12,Mobile,21,0
171,1375,288,2023-06-11,0,TV,172,1
172,1601,198,2023-08-25,20,Mobile,16,0
173,1042,415,2024-10-24,0,Mobile,120,1
174,984,176,2022-09-05,11,Web,112,1
175,219,273,2024-08-11,17,TV,116,1
176,484,350,2024-04-29,4,Mobile,161,1
177,1702,189,2023-05-04,1,Mobile,50,0
178,698,279,2023-05-27,20,Web,91,1
179,69,364,2023-03-06,20,TV,79,1
180,1459,193,2023-11-30,1,Mobile,131,1
181,1368,486,2024-04-28,3,Mobile,48,0
182,133,269,2022-02-04,14,Web,118,1
183,103,394,2024-12-22,0,Mobile,123,1
184,233,353,2022-05-02,22,TV,175,1
185,102,408,2022-06-21,10,Mobile,103,1
186,1233,338,2023-10-08,6,Web,16,0
187,266,270,2022-04-26,5,TV,72,0
188,1214,381,2024-03-25,6,TV,56,1
189,353,234,2022-08-28,18,Mobile,81,1
190,1945,426,2022-12-18,2,TV,131,1
191,1452,251,2023-10-11,13,TV,122,1
192,750,370,2024-11-01,12,TV,81,1
193,858,104,2022-08-06,5,Mobile,10,0
194,131,91,2024-07-18,15,Mobile,171,1
195,110,283,2023-12-20,8,Mobile,99,1
196,1076,424,2023-07-29,12,TV,21,0
197,46,367,2024-08-21,5,Mobile,75,1
198,1277,167,2023-12-02,8,TV,28,0
199,765,428,2024-06-05,17,Mobile,35,0
200,280,333,2023-10-12,10,Web,116,1
201,1072,279,2023-06-05,14,Mobile,178,1
202,1106,496,2022-12-01,20,Mobile,50,0
203,1493,390,2022-10-20,15,TV,11,0
204,396,148,2022-03-10,22,TV,101,1
205,1095,33,2022-11-11,7,Mobile,48,0
206,1690,136,2024-05-31,7,Mobile,84,1
207,540,89,2022-11-24,5,Mobile,100,1
208,1671,92,2023-05-20,15,TV,128,1
209,1447,262,2023-02-24,18,Mobile,141,1
210,860,493,2024-07-10,19,Mobile,73,1
211,1767,325,2023-09-26,7,Tablet,33,0
212,1934,214,2023-02-15,15,Mobile,114,1
213,474,125,2024-10-16,5,Mobile,97,1
214,1960,392,2022-01-16,21,TV,62,0
215,5,275,2022-05-26,1,Mobile,16,0
216,259,25,2022-05-19,15,Mobile,119,1
217,87,234,2022-04-17,7,TV,27,0
218,736,91,2022-06-22,5,Mobile,167,1
219,1874,250,2024-01-22,0,TV,29,0
220,1201,32,2024-03-11,14,TV,6,0
221,1234,107,2022-03-29,5,TV,129,1
222,170,408,2022-02-05,13,Web,85,0
223,1033,85,2024-09-16,7,Mobile,43,0
224,766,54,2024-06-16,8,TV,19,0
225,959,111,2024-05-14,4,TV,168,1
226,523,462,2024-01-27,1,TV,38,0
227,404,475,2023-04-03,20,Mobile,102,1
228,1905,332,2022-12-21,19,Mobile,151,1
229,1117,391,2022-12-30,16,Mobile,123,1
230,824,455,2023-07-26,19,Mobile,43,0
231,148,148,2022-02-22,21,Web,151,1
232,1526,205,2024-10-17,0,TV,54,1
233,946,14,2024-12-03,8,Mobile,77,0
234,774,263,2022-03-18,17,TV,68,1
235,1334,463,2023-07-29,1,TV,92,0
236,264,14,2023-02-02,15,TV,140,1
237,1067,356,2023-02-15,15,Mobile,49,1
238,1727,233,2023-03-05,8,TV,141,1
239,928,483,2023-07-27,20,Web,173,1
240,1,296,2024-11-20,18,TV,106,1
241,460,203,2024-03-14,16,Mobile,74,1
242,112,51,2024-12-03,19,Web,74,0
243,1001,281,2022-10-26,3,Mobile,33,0
244,729,491,2024-07-10,20,Mobile,74,1
245,265,7,2023-03-28,14,Mobile,177,1
246,1374,3,2023-02-23,1,Tablet,170,1
247,354,446,2022-02-27,13,Mobile,64,1
248,684,134,2024-08-31,9,TV,170,1
249,1976,304,2022-05-07,14,TV,112,1
250,133,308,2023-06-15,0,Mobile,161,1
251,496,241,2024-11-30,0,Mobile,174,1
252,636,249,2023-12-07,17,Mobile,130,1
253,1018,344,2022-05-14,19,TV,163,1
254,490,120,2024-10-13,10,Mobile,133,1
255,1941,90,2023-10-19,8,Mobile,32,0
256,11,494,2022-09-29,17,Mobile,165,1
257,1897,5,2022-10-14,7,Mobile,38,0
258,1070,95,2024-07-31,19,Mobile,47,0
259,77,365,2023-10-10,13,Mobile,165,1
260,234,285,2023-03-14,1,TV,98,1
261,207,162,2022-11-21,16,Mobile,49,0
262,575,58,2024-08-12,22,Mobile,173,1
263,667,184,2023-01-22,18,TV,111,1
264,1283,29,2023-08-24,11,Mobile,6,0
265,623,277,2022-03-26,14,Web,57,0
266,1451,244,2022-09-28,23,Mobile,48,0
267,588,460,2024-05-13,12,Tablet,47,0
268,527,403,2024-04-18,3,TV,102,1
269,551,235,2024-12-13,4,TV,11,0
270,659,266,2022-05-07,8,Mobile,95,1
271,1676,345,2023-07-22,20,Mobile,89,1
272,494,147,2022-06-06,10,Web,155,1
273,547,301,2024-03-28,16,Mobile,105,1
274,1914,9,2022-06-12,22,TV,152,1
275,1308,470,2022-05-13,16,TV,171,1
276,382,471,2024-07-09,2,Mobile,100,1
277,1737,445,2022-05-20,22,Mobile,165,1
278,367,106,2024-08-12,13,Mobile,18,0
279,325,395,2024-03-29,10,TV,82,1
280,891,288,2023-09-20,3,Web,25,0
281,1383,492,2022-06-08,11,Mobile,77,0
282,379,8,2022-11-02,5,TV,35,0
283,1507,199,2022-08-11,9,Mobile,174,1
284,314,49,2023-03-08,14,TV,68,1
285,1564,474,2022-08-09,3,Mobile,173,1
286,192,86,2022-07-21,6,Web,15,0
287,929,20,2022-12-28,13,TV,112,1
288,1281,57,2022-01-05,6,TV,57,0
289,532,483,2024-09-21,12,Web,85,0
290,1225,266,2024-07-08,16,Web,151,1
291,1378,54,2022-10-22,6,TV,85,1
292,1301,199,2022-08-02,19,Mobile,18,0
293,794,213,2024-08-14,6,Tablet,103,1
294,1547,401,2022-03-28,0,Web,175,1
295,1464,110,2024-04-17,20,Mobile,24,0
296,653,59,2022-05-25,5,TV,145,1
297,1467,375,2022-03-24,9,Mobile,123,1
298,1837,216,2024-10-11,12,Mobile,41,0
299,1634,63,2023-08-25,18,TV,83,1
300,1467,215,2023-02-02,21,TV,65,0
301,1534,214,2022-02-19,9,Mobile,92,1
302,1610,116,2023-12-11,8,TV,176,1
303,579,101,2023-09-12,4,Mobile,84,0
304,1442,48,2022-02-04,6,TV,119,1
305,399,421,2024-02-20,13,TV,7,0
306,717,6,2023-08-03,2,TV,137,1
307,1870,255,2024-07-28,20,TV,44,0
308,567,10,2024-03-28,5,TV,64,1
309,1688,403,2023-10-17,14,Mobile,63,0
310,846,200,2022-03-13,11,Tablet,168,1
311,420,491,2022-08-17,4,Web,36,0
312,195,28,2022-11-24,7,TV,55,0
313,1097,167,2024-11-04,12,TV,154,1
314,903,198,2022-12-19,14,TV,133,1
315,1023,35,2023-07-28,4,TV,176,1
316,87,219,2024-08-29,7,Mobile,5,0
317,537,230,2022-02-05,11,TV,148,1
318,8,223,2023-12-30,5,Mobile,147,1
319,605,267,2024-08-30,3,TV,31,0
320,1863,96,2024-08-05,15,Mobile,115,1
321,305,120,2023-07-11,4,Web,67,0
322,1379,250,2023-02-16,17,Mobile,11,0
323,12,323,2022-07-22,3,Web,13,0
324,1124,197,2023-10-10,22,TV,57,1
325,1842,229,2024-09-12,12,TV,96,1
326,683,495,2023-07-21,13,Web,83,0
327,395,323,2023-12-25,9,Mobile,163,1
328,1142,23,2022-10-30,22,Mobile,13,0
329,558,181,2024-03-22,1,Web,49,1
330,1784,27,2023-04-08,5,Mobile,40,0
331,1698,438,2023-01-30,17,Mobile,28,0
332,1305,413,2022-09-26,12,TV,146,1
333,1279,233,2023-12-21,12,Mobile,58,0
334,1205,134,2022-01-18,11,Mobile,158,1
335,1471,360,2024-10-13,12,TV,55,0
336,921,92,2024-11-26,16,Web,74,1
337,1940,386,2024-11-12,12,Mobile,176,1
338,692,438,2024-11-15,5,Web,155,1
339,18,90,2024-07-09,19,TV,36,0
340,1398,267,2024-06-21,3,Web,38,0
341,1325,78,2023-04-08,22,Web,30,0
342,1962,308,2022-07-11,10,TV,105,1
343,791,338,2022-01-07,11,Web,99,1
344,850,4,2022-01-23,16,Mobile,156,1
345,1125,473,2024-02-11,20,Web,142,1
346,785,131,2022-08-03,17,Web,166,1
347,1570,232,2022-06-19,3,TV,72,1
348,857,130,2024-08-12,16,TV,149,1
349,1568,453,2022-06-18,18,TV,47,0
350,852,381,2022-06-17,15,Tablet,39,0
351,451,495,2023-06-04,9,TV,32,0
352,1982,193,2022-09-13,3,TV,119,1
353,1053,282,2022-03-23,2,Mobile,158,1
354,1414,289,2024-01-27,18,Mobile,157,1
355,1183,116,2023-07-21,20,Mobile,55,0
356,719,466,2023-06-07,13,TV,105,1
357,1945,433,2022-09-20,21,Mobile,53,1
358,744,493,2023-12-18,1,TV,79,1
359,1987,229,2023-09-10,22,Web,93,1
360,862,64,2023-09-09,6,Mobile,70,1
361,46,80,2024-10-17,9,Mobile,19,0
362,74,278,2023-09-19,6,Web,56,0
363,1948,410,2024-10-10,8,Tablet,129,1
364,1056,350,2024-08-13,3,TV,38,0
365,776,367,2022-04-26,11,Mobile,6,0
366,1623,392,2022-08-27,3,TV,106,1
367,1235,422,2024-01-22,4,Web,153,1
368,1322,461,2022-06-02,21,TV,113,1
369,1371,182,2024-03-06,2,Mobile,147,1
370,397,365,2023-03-20,10,Mobile,131,1
371,177,140,2022-12-04,12,Mobile,8,0
372,1457,345,2023-08-09,9,TV,60,0
373,44,28,2022-11-19,11,Mobile,80,0
374,1439,28,2023-06-22,19,Mobile,103,1
375,260,100,2024-04-14,8,TV,143,1
376,526,273,2023-08-15,8,TV,131,1
377,1416,456,2024-12-13,4,Mobile,140,1
378,1246,300,2023-06-17,7,TV,7,0
379,1564,281,2024-06-11,20,Mobile,67,1
380,1222,349,2023-07-22,4,Web,98,1
381,96,444,2024-07-09,4,Mobile,106,1
382,1680,292,2024-10-17,2,Mobile,138,1
383,432,369,2024-08-21,23,TV,82,0
384,273,205,2022-02-24,4,Mobile,114,1
385,1758,498,2022-06-15,4,TV,113,1
386,390,244,2024-10-28,19,TV,179,1
387,1073,447,2024-05-12,21,Mobile,100,1
388,972,484,2023-10-05,13,TV,176,1
389,1540,442,2023-12-06,7,Mobile,147,1
390,89,165,2022-02-22,14,TV,98,1
391,214,187,2023-07-13,19,Mobile,155,1
392,832,393,2022-02-28,8,Web,59,0
393,947,465,2023-11-20,19,TV,161,1
394,1577,304,2023-09-18,11,Tablet,86,1
395,1212,389,2023-12-05,16,Mobile,81,1
396,298,222,2024-01-25,15,Mobile,171,1
397,1958,429,2024-12-30,10,Mobile,15,0
398,920,208,2023-07-24,9,Tablet,32,0
399,1930,311,2024-06-08,19,TV,116,1
400,1980,269,2023-05-07,7,Mobile,38,0
401,104,419,2024-03-28,15,Web,134,1
402,1012,400,2022-10-31,6,TV,31,0
403,845,420,2023-04-20,15,Mobile,9,0
404,997,62,2023-10-27,5,Mobile,164,1
405,620,123,2024-11-27,12,TV,29,0
406,1118,456,2024-09-09,13,TV,120,1
407,985,66,2022-10-21,3,Mobile,44,0
408,373,388,2023-04-08,1,Mobile,159,1
409,578,318,2022-03-27,5,Mobile,128,1
410,295,175,2024-02-01,3,TV,95,1
411,1688,19,2022-03-18,7,Mobile,44,0
412,1355,6,2022-01-20,14,Mobile,150,1
413,776,447,2024-03-22,8,TV,89,1
414,792,53,2023-05-08,19,Tablet,116,1
415,159,373,2022-07-20,11,Mobile,60,0
416,580,73,2024-04-14,6,Web,32,0
417,1849,199,2024-05-01,0,TV,86,1
418,63,52,2024-07-10,0,TV,22,0
419,293,319,2024-06-10,22,Mobile,174,1
420,1693,52,2023-08-12,16,Tablet,37,0
421,1041,314,2024-11-01,20,Mobile,109,1
422,65,481,2023-09-13,0,Tablet,47,0
423,980,371,2024-02-01,5,TV,136,1
424,1500,330,2022-06-01,7,Web,98,1
425,691,454,2023-08-17,2,Mobile,81,1
426,764,411,2022-11-20,10,TV,58,1
427,1263,367,2024-05-27,22,Web,163,1
428,1198,282,2024-01-01,18,Web,102,1
429,1806,196,2024-02-08,6,Mobile,153,1
430,496,310,2024-04-19,18,TV,33,0
431,553,54,2023-11-19,5,Mobile,176,1
432,311,441,2022-03-31,10,TV,94,1
433,1330,443,2022-09-09,18,TV,163,1
434,1067,131,2024-11-18,20,TV,55,0
435,694,379,2024-01-30,17,Mobile,100,1
436,1392,348,2024-11-10,9,Mobile,30,0
437,754,427,2022-03-18,6,TV,44,0
438,391,450,2022-07-25,11,Mobile,12,0
439,1080,372,2023-12-30,19,TV,54,0
440,873,469,2022-02-19,9,TV,98,1
441,811,163,2022-03-18,11,TV,44,0
442,890,223,2023-01-09,14,TV,108,1
443,1829,75,2024-01-12,14,Web,172,1
444,432,429,2024-11-15,9,TV,149,1
445,552,139,2024-12-02,5,TV,132,1
446,1131,252,2023-05-01,22,Tablet,115,1
447,94,82,2024-03-15,23,TV,86,1
448,292,129,2022-12-10,20,TV,71,0
449,1133,338,2024-02-12,4,TV,91,0
450,1020,126,2024-09-06,9,Mobile,131,1
451,1306,258,2023-11-24,9,Mobile,58,0
452,227,226,2022-05-28,0,TV,98,1
453,1708,308,2022-11-03,12,Mobile,106,1
454,972,129,2024-10-27,13,Mobile,135,1
455,311,243,2024-05-13,17,Web,162,1
456,624,15,2024-06-04,5,Mobile,141,1
457,455,260,2022-02-25,11,Mobile,89,1
458,905,53,2023-02-25,7,TV,143,1
459,939,365,2023-07-20,3,Mobile,104,1
460,868,425,2024-05-12,11,Mobile,7,0
461,923,201,2022-04-24,4,TV,172,1
462,1816,442,2024-04-07,19,Mobile,66,0
463,1919,197,2023-11-02,11,TV,36,0
464,980,437,2023-09-27,17,TV,108,1
465,1927,260,2024-08-02,5,TV,37,0
466,1637,277,2024-05-05,13,TV,133,1
467,1640,205,2024-02-20,7,Mobile,137,1
468,452,468,2023-07-02,17,TV,22,0
469,877,354,2024-11-30,21,Web,99,1
470,705,250,2024-07-11,7,TV,160,1
471,193,398,2022-11-23,11,Mobile,32,0
472,151,232,2024-05-18,11,Mobile,166,1
473,1245,439,2023-09-16,5,Web,170,1
474,842,238,2024-09-19,1,Mobile,20,0
475,1652,405,2023-02-14,18,TV,109,1
476,1338,128,2024-05-23,1,Web,150,1
477,171,284,2022-10-13,0,Mobile,31,0
478,1677,307,2024-10-05,3,Mobile,111,1
479,993,264,2022-07-09,11,Mobile,12,0
480,1132,225,2022-07-15,18,Tablet,129,1
481,1932,1,2024-12-09,21,TV,64,0
482,1281,488,2022-10-31,22,Web,53,0
483,45,108,2023-07-23,22,TV,30,0
484,355,86,2023-05-11,14,TV,124,1
485,853,406,2024-05-12,11,TV,175,1
486,75,39,2022-09-23,0,Mobile,177,1
487,335,382,2023-01-05,11,Mobile,22,0
488,1584,176,2024-09-08,14,Mobile,10,0
489,286,361,2024-10-03,16,Mobile,72,1
490,335,108,2022-07-16,6,Mobile,162,1
491,1010,352,2023-06-19,7,Web,151,1
492,183,496,2023-05-18,21,TV,113,1
493,512,253,2023-07-17,20,Mobile,44,0
494,1876,280,2023-07-26,17,Web,97,1
495,1263,307,2022-02-23,9,TV,169,1
496,1928,180,2024-08-13,8,Web,158,1
497,709,276,2022-09-29,12,Mobile,10,0
498,1233,322,2022-10-11,10,Mobile,104,1
499,478,13,2024-06-06,19,Web,151,1
500,758,227,2024-11-27,17,Mobile,95,1
501,350,264,2024-09-14,4,TV,79,1
502,1667,105,2022-11-16,22,Mobile,9,0
503,369,236,2024-03-27,11,Web,106,1
504,410,198,2022-06-28,7,Mobile,173,1
505,928,278,2023-03-19,10,Mobile,162,1
506,859,144,2022-10-05,18,TV,179,1
507,628,450,2022-09-06,8,Tablet,137,1
508,715,319,2024-08-22,16,Mobile,85,1
509,591,314,2024-08-30,14,Mobile,57,0
510,1826,409,2022-06-16,5,TV,99,1
511,1161,11,2023-02-10,13,Mobile,99,1
512,1840,132,2022-02-04,5,Mobile,89,1
513,1974,91,2024-06-23,19,Web,171,1
514,1302,311,2022-11-16,5,Mobile,60,0
515,1652,172,2023-10-18,7,TV,33,0
516,222,355,2023-08-20,4,Mobile,116,1
517,1899,472,2022-08-06,7,TV,86,1
518,965,186,2023-01-26,7,TV,71,1
519,1427,166,2022-05-02,9,TV,101,1
520,491,244,2022-06-25,3,TV,27,0
521,192,245,2024-07-17,16,TV,88,1
522,1770,180,2023-02-03,6,Mobile,86,1
523,899,174,2023-05-12,8,TV,168,1
524,277,187,2024-01-29,8,Mobile,57,1
525,1317,244,2024-08-18,23,Web,109,1
526,109,224,2023-04-23,13,Web,45,0
527,901,229,2024-08-11,20,Mobile,95,1
528,1409,148,2023-09-20,10,TV,132,1
529,1441,317,2022-02-26,19,Mobile,178,1
530,907,245,2024-11-03,7,Mobile,76,1
531,740,115,2022-10-14,12,Mobile,95,1
532,1677,377,2024-03-30,2,Mobile,77,0
533,370,441,2024-08-11,6,Web,60,0
534,150,198,2024-05-30,13,TV,173,1
535,314,262,2023-10-29,9,Tablet,27,0
536,1603,473,2022-11-12,20,Mobile,178,1
537,940,158,2023-12-09,12,TV,169,1
538,75,109,2023-07-14,14,Mobile,12,0
539,338,174,2023-12-27,3,Mobile,27,0
540,57,225,2023-01-13,13,TV,105,1
541,1629,222,2024-01-23,2,TV,38,0
542,923,301,2023-06-15,9,TV,8,0
543,137,139,2024-11-29,2,Web,123,1
544,443,272,2022-05-03,12,TV,169,1
545,1233,54,2024-03-03,15,Web,89,1
546,1188,474,2023-07-22,16,Mobile,114,1
547,1639,148,2023-09-23,21,Web,124,1
548,52,163,2023-07-30,6,Mobile,135,1
549,139,81,2022-05-29,17,TV,81,1
550,71,189,2023-09-22,22,TV,127,1
551,789,488,2023-04-04,13,Web,143,1
552,1455,298,2022-09-14,0,Mobile,118,1
553,1327,334,2024-10-09,18,Mobile,72,0
554,421,299,2022-08-31,8,Web,85,1
555,1315,168,2023-04-07,2,Mobile,64,0
556,1313,394,2023-02-07,23,TV,15,0
557,383,172,2023-05-12,9,Mobile,142,1
558,1500,398,2023-08-12,19,Mobile,76,0
559,845,493,2023-11-22,7,TV,47,0
560,119,6,2023-01-04,1,Mobile,95,1
561,782,84,2023-01-15,12,Mobile,56,0
562,1540,383,2024-02-13,8,Mobile,95,1
563,1393,61,2024-02-03,16,TV,8,0
564,537,359,2023-10-03,16,Mobile,31,0
565,1514,124,2023-07-23,20,Mobile,69,0
566,780,293,2022-05-04,13,Web,69,0
567,921,327,2023-09-12,16,Mobile,123,1
568,174,159,2022-09-03,22,Mobile,129,1
569,1995,429,2022-03-21,23,TV,68,1
570,1678,454,2023-10-25,18,Mobile,74,1
571,390,110,2023-07-28,15,TV,71,0
572,1122,370,2023-08-06,15,Web,60,1
573,1561,337,2024-03-13,20,Tablet,39,0
574,1010,129,2023-01-07,14,Web,102,1
575,422,408,2023-01-03,14,TV,105,1
576,1938,153,2022-07-08,23,Mobile,21,0
577,538,128,2022-03-25,18,Mobile,65,1
578,670,356,2024-10-04,12,TV,26,0
579,744,60,2022-11-12,13,TV,44,0
580,1782,459,2023-05-08,0,Mobile,45,0
581,1001,193,2024-09-20,11,Web,37,0
582,1440,246,2022-08-21,17,TV,140,1
583,1803,340,2022-07-11,7,Mobile,118,1
584,1858,440,2024-02-29,12,TV,163,1
585,1713,386,2023-01-24,11,Mobile,70,1
586,1816,192,2022-10-08,20,Mobile,59,0
587,1897,375,2024-05-03,7,Mobile,40,0
588,1983,198,2022-10-18,10,TV,72,1
589,1287,259,2022-01-06,5,TV,49,0
590,264,343,2024-06-24,3,Mobile,34,0
591,227,276,2024-11-28,13,Mobile,148,1
592,1593,26,2024-09-21,15,TV,5,0
593,633,23,2022-05-07,13,TV,65,1
594,1609,70,2023-05-28,21,TV,72,0
