event_id,user_id,title_id,watch_date,watch_hour,device_type,minutes_watched,completed,watch_year,watch_month,is_peak_hour
69,1831,2,2023-07-23,19,TV,67,1,2023,2023-07,True
70,1989,357,2024-03-09,5,TV,42,0,2024,2024-03,False
71,736,377,2023-06-20,9,TV,175,1,2023,2023-06,False
72,1754,82,2024-02-05,9,Mobile,119,1,2024,2024-02,False
73,923,18,2023-09-11,2,TV,78,1,2023,2023-09,False
74,1825,19,2022-06-25,2,TV,61,1,2022,2022-06,False
75,347,65,2022-09-09,5,Tablet,41,0,2022,2022-09,False
76,570,76,2024-06-16,0,TV,63,1,2024,2024-06,False
77,1480,484,2023-01-08,10,Mobile,119,1,2023,2023-01,False
78,441,101,2022-01-09,0,Tablet,63,0,2022,2022-01,False
79,1648,403,2023-07-28,14,Mobile,103,1,2023,2023-07,False
80,852,31,2024-02-22,23,TV,143,1,2024,2024-02,True
81,808,328,2024-07-22,12,TV,134,1,2024,2024-07,False
82,907,227,2024-06-10,23,TV,146,1,2024,2024-06,True
83,1596,271,2024-10-29,12,Web,155,1,2024,2024-10,False
84,12,392,2022-09-06,0,Mobile,79,1,2022,2022-09,False
85,1502,105,2024-02-22,9,Web,166,1,2024,2024-02,False
86,1559,3,2022-12-08,4,Mobile,169,1,2022,2022-12,False
87,1643,111,2024-08-17,11,TV,28,0,2024,2024-08,False
88,1994,402,2022-09-23,11,TV,108,1,2022,2022-09,False
89,1565,296,2024-02-23,17,Mobile,20,0,2024,2024-02,False
90,1058,463,2024-06-16,15,TV,143,1,2024,2024-06,False
91,933,418,2023-10-12,4,TV,6,0,2023,2023-10,False
92,777,76,2023-04-06,4,Mobile,59,0,2023,2023-04,False
93,1655,29,2023-05-25,3,TV,81,1,2023,2023-05,False
94,786,11,2023-02-02,5,TV,97,1,2023,2023-02,False
95,1146,95,2022-05-07,23,Mobile,48,0,2022,2022-05,True
96,193,240,2023-07-04,12,TV,169,1,2023,2023-07,False
97,635,9,2023-10-25,5,Web,169,1,2023,2023-10,False
98,533,435,2024-03-10,1,Web,129,1,2024,2024-03,False
99,871,240,2022-03-06,12,Mobile,13,0,2022,2022-03,False
100,1005,369,2023-12-25,12,Tablet,179,1,2023,2023-12,False
101,1433,437,2022-11-13,14,Mobile,148,1,2022,2022-11,False
102,864,18,2024-02-14,21,TV,58,0,2024,2024-02,True
103,301,217,2023-06-29,9,TV,114,1,2023,2023-06,False
104,1091,337,2024-11-03,23,Web,26,0,2024,2024-11,True
105,110,499,2022-04-29,11,Mobile,114,1,2022,2022-04,False
106,1699,409,2022-10-07,12,Web,110,1,2022,2022-10,False
107,1542,109,2024-02-28,22,TV,63,0,2024,2024-02,True
108,451,136,2022-08-15,8,TV,162,1,2022,2022-08,False
109,527,400,2022-10-04,1,TV,53,0,2022,2022-10,False
110,56,327,2023-12-13,18,Mobile,126,1,2023,2023-12,True
111,729,125,2023-07-15,14,Web,167,1,2023,2023-07,False
112,77,247,2022-06-09,21,Mobile,158,1,2022,2022-06,True
113,1873,465,2022-12-24,21,TV,23,0,2022,2022-12,True
114,269,103,2023-12-06,11,TV,99,1,2023,2023-12,False
115,1319,165,2022-03-14,16,TV,16,0,2022,2022-03,False
116,1141,451,2024-11-12,20,TV,55,1,2024,2024-11,True
117,474,337,2023-03-14,18,Mobile,115,1,2023,2023-03,True
118,1617,112,2023-05-18,10,TV,112,1,2023,2023-05,False
119,218,144,2023-12-21,10,Web,106,1,2023,2023-12,False
120,1774,421,2022-08-24,10,TV,19,0,2022,2022-08,False
121,1481,141,2023-09-08,17,TV,59,1,2023,2023-09,False
122,1271,351,2024-12-25,13,Mobile,128,1,2024,2024-12,False
123,1760,248,2024-11-16,3,TV,114,1,2024,2024-11,False
124,807,111,2023-02-24,10,Web,89,0,2023,2023-02,False
125,564,185,2024-12-21,8,Mobile,61,0,2024,2024-12,False
126,310,356,2022-05-05,6,Mobile,35,0,2022,2022-05,False
127,1849,402,2024-09-12,21,Mobile,151,1,2024,2024-09,True
128,803,14,2023-04-01,20,TV,46,0,2023,2023-04,True
129,1659,453,2022-12-10,14,Mobile,158,1,2022,2022-12,False
130,665,119,2022-04-06,22,Mobile,45,0,2022,2022-04,True
131,1910,325,2023-11-10,4,Web,121,1,2023,2023-11,False
132,1741,143,2022-04-02,13,Mobile,16,0,2022,2022-04,False
133,617,134,2024-03-10,16,Mobile,123,1,2024,2024-03,False
134,974,445,2022-02-22,18,TV,9,0,2022,2022-02,True
135,1588,351,2023-07-29,9,Mobile,90,1,2023,2023-07,False
136,453,458,2023-05-13,5,Mobile,145,1,2023,2023-05,False
137,48,11,2024-12-18,9,TV,178,1,2024,2024-12,False
138,578,136,2023-05-18,16,Mobile,96,1,2023,2023-05,False
139,1182,25,2022-12-13,22,Mobile,74,1,2022,2022-12,True
140,273,238,2024-03-14,7,TV,171,1,2024,2024-03,False
141,667,231,2024-08-08,8,TV,18,0,2024,2024-08,False
142,1838,491,2023-08-19,4,Web,116,1,2023,2023-08,False
143,151,116,2024-04-10,8,Mobile,94,1,2024,2024-04,False
144,101,333,2024-07-30,11,Mobile,7,0,2024,2024-07,False
145,848,498,2023-05-19,13,Mobile,145,1,2023,2023-05,False
146,26,35,2024-08-13,0,TV,95,1,2024,2024-08,False
147,56,223,2024-05-26,3,Mobile,13,0,2024,2024-05,False
148,366,196,2022-07-07,6,TV,164,1,2022,2022-07,False
149,205,14,2023-04-18,11,TV,168,1,2023,2023-04,False
150,1622,211,2022-02-15,5,Tablet,117,1,2022,2022-02,False
151,246,127,2024-04-20,2,TV,155,1,2024,2024-04,False
152,1047,154,2024-02-13,11,TV,123,1,2024,2024-02,False
153,1411,107,2022-02-13,23,Mobile,31,0,2022,2022-02,True
154,1252,260,2022-01-11,11,Web,123,1,2022,2022-01,False
155,1308,200,2023-10-27,21,Mobile,85,1,2023,2023-10,True
156,716,369,2023-03-08,16,Mobile,48,0,2023,2023-03,False
157,1778,177,2022-02-18,18,Mobile,87,0,2022,2022-02,True
158,138,346,2022-03-01,2,TV,95,1,2022,2022-03,False
159,215,264,2024-08-06,18,TV,141,1,2024,2024-08,True
160,1713,176,2023-05-18,10,Mobile,41,0,2023,2023-05,False
161,137,412,2024-04-09,19,Mobile,100,1,2024,2024-04,True
162,384,369,2023-05-08,1,Web,132,1,2023,2023-05,False
163,347,263,2024-10-04,6,TV,172,1,2024,2024-10,False
164,67,268,2024-07-15,19,TV,80,0,2024,2024-07,True
165,235,382,2024-09-18,1,Mobile,107,1,2024,2024-09,False
166,1146,385,2023-12-08,21,Mobile,12,0,2023,2023-12,True
167,1323,357,2022-01-16,4,Mobile,47,0,2022,2022-01,False
168,167,57,2023-03-17,23,Web,72,0,2023,2023-03,True
169,1885,116,2022-04-18,20,TV,104,1,2022,2022-04,True
170,192,203,2023-07-12,12,Mobile,21,0,2023,2023-07,False
171,1375,288,2023-06-11,0,TV,172,1,2023,2023-06,False
172,1601,198,2023-08-25,20,Mobile,16,0,2023,2023-08,True
173,1042,415,2024-10-24,0,Mobile,120,1,2024,2024-10,False
174,984,176,2022-09-05,11,Web,112,1,2022,2022-09,False
175,219,273,2024-08-11,17,TV,116,1,2024,2024-08,False
176,484,350,2024-04-29,4,Mobile,161,1,2024,2024-04,False
177,1702,189,2023-05-04,1,Mobile,50,0,2023,2023-05,False
178,698,279,2023-05-27,20,Web,91,1,2023,2023-05,True
179,69,364,2023-03-06,20,TV,79,1,2023,2023-03,True
180,1459,193,2023-11-30,1,Mobile,131,1,2023,2023-11,False
181,1368,486,2024-04-28,3,Mobile,48,0,2024,2024-04,False
182,133,269,2022-02-04,14,Web,118,1,2022,2022-02,False
183,103,394,2024-12-22,0,Mobile,123,1,2024,2024-12,False
184,233,353,2022-05-02,22,TV,175,1,2022,2022-05,True
185,102,408,2022-06-21,10,Mobile,103,1,2022,2022-06,False
186,1233,338,2023-10-08,6,Web,16,0,2023,2023-10,False
187,266,270,2022-04-26,5,TV,72,0,2022,2022-04,False
188,1214,381,2024-03-25,6,TV,56,1,2024,2024-03,False
189,353,234,2022-08-28,18,Mobile,81,1,2022,2022-08,True
190,1945,426,2022-12-18,2,TV,131,1,2022,2022-12,False
191,1452,251,2023-10-11,13,TV,122,1,2023,2023-10,False
192,750,370,2024-11-01,12,TV,81,1,2024,2024-11,False
193,858,104,2022-08-06,5,Mobile,10,0,2022,2022-08,False
194,131,91,2024-07-18,15,Mobile,171,1,2024,2024-07,False
195,110,283,2023-12-20,8,Mobile,99,1,2023,2023-12,False
196,1076,424,2023-07-29,12,TV,21,0,2023,2023-07,False
197,46,367,2024-08-21,5,Mobile,75,1,2024,2024-08,False
198,1277,167,2023-12-02,8,TV,28,0,2023,2023-12,False
199,765,428,2024-06-05,17,Mobile,35,0,2024,2024-06,False
200,280,333,2023-10-12,10,Web,116,1,2023,2023-10,False
201,1072,279,2023-06-05,14,Mobile,178,1,2023,2023-06,False
202,1106,496,2022-12-01,20,Mobile,50,0,2022,2022-12,True
203,1493,390,2022-10-20,15,TV,11,0,2022,2022-10,False
204,396,148,2022-03-10,22,TV,101,1,2022,2022-03,True
205,1095,33,2022-11-11,7,Mobile,48,0,2022,2022-11,False
206,1690,136,2024-05-31,7,Mobile,84,1,2024,2024-05,False
207,540,89,2022-11-24,5,Mobile,100,1,2022,2022-11,False
208,1671,92,2023-05-20,15,TV,128,1,2023,2023-05,False
209,1447,262,2023-02-24,18,Mobile,141,1,2023,2023-02,True
210,860,493,2024-07-10,19,Mobile,73,1,2024,2024-07,True
211,1767,325,2023-09-26,7,Tablet,33,0,2023,2023-09,False
212,1934,214,2023-02-15,15,Mobile,114,1,2023,2023-02,False
213,474,125,2024-10-16,5,Mobile,97,1,2024,2024-10,False
214,1960,392,2022-01-16,21,TV,62,0,2022,2022-01,True
215,5,275,2022-05-26,1,Mobile,16,0,2022,2022-05,False
216,259,25,2022-05-19,15,Mobile,119,1,2022,2022-05,False
217,87,234,2022-04-17,7,TV,27,0,2022,2022-04,False
218,736,91,2022-06-22,5,Mobile,167,1,2022,2022-06,False
219,1874,250,2024-01-22,0,TV,29,0,2024,2024-01,False
220,1201,32,2024-03-11,14,TV,6,0,2024,2024-03,False
221,1234,107,2022-03-29,5,TV,129,1,2022,2022-03,False
222,170,408,2022-02-05,13,Web,85,0,2022,2022-02,False
223,1033,85,2024-09-16,7,Mobile,43,0,2024,2024-09,False
224,766,54,2024-06-16,8,TV,19,0,2024,2024-06,False
225,959,111,2024-05-14,4,TV,168,1,2024,2024-05,False
226,523,462,2024-01-27,1,TV,38,0,2024,2024-01,False
227,404,475,2023-04-03,20,Mobile,102,1,2023,2023-04,True
228,1905,332,2022-12-21,19,Mobile,151,1,2022,2022-12,True
229,1117,391,2022-12-30,16,Mobile,123,1,2022,2022-12,False
230,824,455,2023-07-26,19,Mobile,43,0,2023,2023-07,True
231,148,148,2022-02-22,21,Web,151,1,2022,2022-02,True
232,1526,205,2024-10-17,0,TV,54,1,2024,2024-10,False
233,946,14,2024-12-03,8,Mobile,77,0,2024,2024-12,False
234,774,263,2022-03-18,17,TV,68,1,2022,2022-03,False
235,1334,463,2023-07-29,1,TV,92,0,2023,2023-07,False
236,264,14,2023-02-02,15,TV,140,1,2023,2023-02,False
237,1067,356,2023-02-15,15,Mobile,49,1,2023,2023-02,False
238,1727,233,2023-03-05,8,TV,141,1,2023,2023-03,False
239,928,483,2023-07-27,20,Web,173,1,2023,2023-07,True
240,1,296,2024-11-20,18,TV,106,1,2024,2024-11,True
241,460,203,2024-03-14,16,Mobile,74,1,2024,2024-03,False
242,112,51,2024-12-03,19,Web,74,0,2024,2024-12,True
243,1001,281,2022-10-26,3,Mobile,33,0,2022,2022-10,False
244,729,491,2024-07-10,20,Mobile,74,1,2024,2024-07,True
245,265,7,2023-03-28,14,Mobile,177,1,2023,2023-03,False
246,1374,3,2023-02-23,1,Tablet,170,1,2023,2023-02,False
247,354,446,2022-02-27,13,Mobile,64,1,2022,2022-02,False
248,684,134,2024-08-31,9,TV,170,1,2024,2024-08,False
249,1976,304,2022-05-07,14,TV,112,1,2022,2022-05,False
250,133,308,2023-06-15,0,Mobile,161,1,2023,2023-06,False
251,496,241,2024-11-30,0,Mobile,174,1,2024,2024-11,False
252,636,249,2023-12-07,17,Mobile,130,1,2023,2023-12,False
253,1018,344,2022-05-14,19,TV,163,1,2022,2022-05,True
254,490,120,2024-10-13,10,Mobile,133,1,2024,2024-10,False
255,1941,90,2023-10-19,8,Mobile,32,0,2023,2023-10,False
256,11,494,2022-09-29,17,Mobile,165,1,2022,2022-09,False
257,1897,5,2022-10-14,7,Mobile,38,0,2022,2022-10,False
258,1070,95,2024-07-31,19,Mobile,47,0,2024,2024-07,True
259,77,365,2023-10-10,13,Mobile,165,1,2023,2023-10,False
260,234,285,2023-03-14,1,TV,98,1,2023,2023-03,False
261,207,162,2022-11-21,16,Mobile,49,0,2022,2022-11,False
262,575,58,2024-08-12,22,Mobile,173,1,2024,2024-08,True
263,667,184,2023-01-22,18,TV,111,1,2023,2023-01,True
264,1283,29,2023-08-24,11,Mobile,6,0,2023,2023-08,False
265,623,277,2022-03-26,14,Web,57,0,2022,2022-03,False
266,1451,244,2022-09-28,23,Mobile,48,0,2022,2022-09,True
267,588,460,2024-05-13,12,Tablet,47,0,2024,2024-05,False
268,527,403,2024-04-18,3,TV,102,1,2024,2024-04,False
269,551,235,2024-12-13,4,TV,11,0,2024,2024-12,False
270,659,266,2022-05-07,8,Mobile,95,1,2022,2022-05,False
271,1676,345,2023-07-22,20,Mobile,89,1,2023,2023-07,True
272,494,147,2022-06-06,10,Web,155,1,2022,2022-06,False
273,547,301,2024-03-28,16,Mobile,105,1,2024,2024-03,False
274,1914,9,2022-06-12,22,TV,152,1,2022,2022-06,True
275,1308,470,2022-05-13,16,TV,171,1,2022,2022-05,False
276,382,471,2024-07-09,2,Mobile,100,1,2024,2024-07,False
277,1737,445,2022-05-20,22,Mobile,165,1,2022,2022-05,True
278,367,106,2024-08-12,13,Mobile,18,0,2024,2024-08,False
279,325,395,2024-03-29,10,TV,82,1,2024,2024-03,False
280,891,288,2023-09-20,3,Web,25,0,2023,2023-09,False
281,1383,492,2022-06-08,11,Mobile,77,0,2022,2022-06,False
282,379,8,2022-11-02,5,TV,35,0,2022,2022-11,False
283,1507,199,2022-08-11,9,Mobile,174,1,2022,2022-08,False
284,314,49,2023-03-08,14,TV,68,1,2023,2023-03,False
285,1564,474,2022-08-09,3,Mobile,173,1,2022,2022-08,False
286,192,86,2022-07-21,6,Web,15,0,2022,2022-07,False
287,929,20,2022-12-28,13,TV,112,1,2022,2022-12,False
288,1281,57,2022-01-05,6,TV,57,0,2022,2022-01,False
289,532,483,2024-09-21,12,Web,85,0,2024,2024-09,False
290,1225,266,2024-07-08,16,Web,151,1,2024,2024-07,False
291,1378,54,2022-10-22,6,TV,85,1,2022,2022-10,False
292,1301,199,2022-08-02,19,Mobile,18,0,2022,2022-08,True
293,794,213,2024-08-14,6,Tablet,103,1,2024,2024-08,False
294,1547,401,2022-03-28,0,Web,175,1,2022,2022-03,False
295,1464,110,2024-04-17,20,Mobile,24,0,2024,2024-04,True
296,653,59,2022-05-25,5,TV,145,1,2022,2022-05,False
297,1467,375,2022-03-24,9,Mobile,123,1,2022,2022-03,False
298,1837,216,2024-10-11,12,Mobile,41,0,2024,2024-10,False
299,1634,63,2023-08-25,18,TV,83,1,2023,2023-08,True
300,1467,215,2023-02-02,21,TV,65,0,2023,2023-02,True
301,1534,214,2022-02-19,9,Mobile,92,1,2022,2022-02,False
302,1610,116,2023-12-11,8,TV,176,1,2023,2023-12,False
303,579,101,2023-09-12,4,Mobile,84,0,2023,2023-09,False
304,1442,48,2022-02-04,6,TV,119,1,2022,2022-02,False
305,399,421,2024-02-20,13,TV,7,0,2024,2024-02,False
306,717,6,2023-08-03,2,TV,137,1,2023,2023-08,False
307,1870,255,2024-07-28,20,TV,44,0,2024,2024-07,True
308,567,10,2024-03-28,5,TV,64,1,2024,2024-03,False
309,1688,403,2023-10-17,14,Mobile,63,0,2023,2023-10,False
310,846,200,2022-03-13,11,Tablet,168,1,2022,2022-03,False
311,420,491,2022-08-17,4,Web,36,0,2022,2022-08,False
312,195,28,2022-11-24,7,TV,55,0,2022,2022-11,False
313,1097,167,2024-11-04,12,TV,154,1,2024,2024-11,False
314,903,198,2022-12-19,14,TV,133,1,2022,2022-12,False
315,1023,35,2023-07-28,4,TV,176,1,2023,2023-07,False
316,87,219,2024-08-29,7,Mobile,5,0,2024,2024-08,False
317,537,230,2022-02-05,11,TV,148,1,2022,2022-02,False
318,8,223,2023-12-30,5,Mobile,147,1,2023,2023-12,False
319,605,267,2024-08-30,3,TV,31,0,2024,2024-08,False
320,1863,96,2024-08-05,15,Mobile,115,1,2024,2024-08,False
321,305,120,2023-07-11,4,Web,67,0,2023,2023-07,False
322,1379,250,2023-02-16,17,Mobile,11,0,2023,2023-02,False
323,12,323,2022-07-22,3,Web,13,0,2022,2022-07,False
324,1124,197,2023-10-10,22,TV,57,1,2023,2023-10,True
325,1842,229,2024-09-12,12,TV,96,1,2024,2024-09,False
326,683,495,2023-07-21,13,Web,83,0,2023,2023-07,False
327,395,323,2023-12-25,9,Mobile,163,1,2023,2023-12,False
328,1142,23,2022-10-30,22,Mobile,13,0,2022,2022-10,True
329,558,181,2024-03-22,1,Web,49,1,2024,2024-03,False
330,1784,27,2023-04-08,5,Mobile,40,0,2023,2023-04,False
331,1698,438,2023-01-30,17,Mobile,28,0,2023,2023-01,False
332,1305,413,2022-09-26,12,TV,146,1,2022,2022-09,False
333,1279,233,2023-12-21,12,Mobile,58,0,2023,2023-12,False
334,1205,134,2022-01-18,11,Mobile,158,1,2022,2022-01,False
335,1471,360,2024-10-13,12,TV,55,0,2024,2024-10,False
336,921,92,2024-11-26,16,Web,74,1,2024,2024-11,False
337,1940,386,2024-11-12,12,Mobile,176,1,2024,2024-11,False
338,692,438,2024-11-15,5,Web,155,1,2024,2024-11,False
339,18,90,2024-07-09,19,TV,36,0,2024,2024-07,True
340,1398,267,2024-06-21,3,Web,38,0,2024,2024-06,False
341,1325,78,2023-04-08,22,Web,30,0,2023,2023-04,True
342,1962,308,2022-07-11,10,TV,105,1,2022,2022-07,False
343,791,338,2022-01-07,11,Web,99,1,2022,2022-01,False
344,850,4,2022-01-23,16,Mobile,156,1,2022,2022-01,False
345,1125,473,2024-02-11,20,Web,142,1,2024,2024-02,True
346,785,131,2022-08-03,17,Web,166,1,2022,2022-08,False
347,1570,232,2022-06-19,3,TV,72,1,2022,2022-06,False
348,857,130,2024-08-12,16,TV,149,1,2024,2024-08,False
349,1568,453,2022-06-18,18,TV,47,0,2022,2022-06,True
350,852,381,2022-06-17,15,Tablet,39,0,2022,2022-06,False
351,451,495,2023-06-04,9,TV,32,0,2023,2023-06,False
352,1982,193,2022-09-13,3,TV,119,1,2022,2022-09,False
353,1053,282,2022-03-23,2,Mobile,158,1,2022,2022-03,False
354,1414,289,2024-01-27,18,Mobile,157,1,2024,2024-01,True
355,1183,116,2023-07-21,20,Mobile,55,0,2023,2023-07,True
356,719,466,2023-06-07,13,TV,105,1,2023,2023-06,False
357,1945,433,2022-09-20,21,Mobile,53,1,2022,2022-09,True
358,744,493,2023-12-18,1,TV,79,1,2023,2023-12,False
359,1987,229,2023-09-10,22,Web,93,1,2023,2023-09,True
360,862,64,2023-09-09,6,Mobile,70,1,2023,2023-09,False
361,46,80,2024-10-17,9,Mobile,19,0,2024,2024-10,False
362,74,278,2023-09-19,6,Web,56,0,2023,2023-09,False
363,1948,410,2024-10-10,8,Tablet,129,1,2024,2024-10,False
364,1056,350,2024-08-13,3,TV,38,0,2024,2024-08,False
365,776,367,2022-04-26,11,Mobile,6,0,2022,2022-04,False
366,1623,392,2022-08-27,3,TV,106,1,2022,2022-08,False
367,1235,422,2024-01-22,4,Web,153,1,2024,2024-01,False
368,1322,461,2022-06-02,21,TV,113,1,2022,2022-06,True
369,1371,182,2024-03-06,2,Mobile,147,1,2024,2024-03,False
370,397,365,2023-03-20,10,Mobile,131,1,2023,2023-03,False
371,177,140,2022-12-04,12,Mobile,8,0,2022,2022-12,False
372,1457,345,2023-08-09,9,TV,60,0,2023,2023-08,False
373,44,28,2022-11-19,11,Mobile,80,0,2022,2022-11,False
374,1439,28,2023-06-22,19,Mobile,103,1,2023,2023-06,True
375,260,100,2024-04-14,8,TV,143,1,2024,2024-04,False
376,526,273,2023-08-15,8,TV,131,1,2023,2023-08,False
377,1416,456,2024-12-13,4,Mobile,140,1,2024,2024-12,False
378,1246,300,2023-06-17,7,TV,7,0,2023,2023-06,False
379,1564,281,2024-06-11,20,Mobile,67,1,2024,2024-06,True
380,1222,349,2023-07-22,4,Web,98,1,2023,2023-07,False
381,96,444,2024-07-09,4,Mobile,106,1,2024,2024-07,False
382,1680,292,2024-10-17,2,Mobile,138,1,2024,2024-10,False
383,432,369,2024-08-21,23,TV,82,0,2024,2024-08,True
384,273,205,2022-02-24,4,Mobile,114,1,2022,2022-02,False
385,1758,498,2022-06-15,4,TV,113,1,2022,2022-06,False
386,390,244,2024-10-28,19,TV,179,1,2024,2024-10,True
387,1073,447,2024-05-12,21,Mobile,100,1,2024,2024-05,True
388,972,484,2023-10-05,13,TV,176,1,2023,2023-10,False
389,1540,442,2023-12-06,7,Mobile,147,1,2023,2023-12,False
390,89,165,2022-02-22,14,TV,98,1,2022,2022-02,False
391,214,187,2023-07-13,19,Mobile,155,1,2023,2023-07,True
392,832,393,2022-02-28,8,Web,59,0,2022,2022-02,False
393,947,465,2023-11-20,19,TV,161,1,2023,2023-11,True
394,1577,304,2023-09-18,11,Tablet,86,1,2023,2023-09,False
395,1212,389,2023-12-05,16,Mobile,81,1,2023,2023-12,False
396,298,222,2024-01-25,15,Mobile,171,1,2024,2024-01,False
397,1958,429,2024-12-30,10,Mobile,15,0,2024,2024-12,False
398,920,208,2023-07-24,9,Tablet,32,0,2023,2023-07,False
399,1930,311,2024-06-08,19,TV,116,1,2024,2024-06,True
400,1980,269,2023-05-07,7,Mobile,38,0,2023,2023-05,False
401,104,419,2024-03-28,15,Web,134,1,2024,2024-03,False
402,1012,400,2022-10-31,6,TV,31,0,2022,2022-10,False
403,845,420,2023-04-20,15,Mobile,9,0,2023,2023-04,False
404,997,62,2023-10-27,5,Mobile,164,1,2023,2023-10,False
405,620,123,2024-11-27,12,TV,29,0,2024,2024-11,False
406,1118,456,2024-09-09,13,TV,120,1,2024,2024-09,False
407,985,66,2022-10-21,3,Mobile,44,0,2022,2022-10,False
408,373,388,2023-04-08,1,Mobile,159,1,2023,2023-04,False
409,578,318,2022-03-27,5,Mobile,128,1,2022,2022-03,False
410,295,175,2024-02-01,3,TV,95,1,2024,2024-02,False
411,1688,19,2022-03-18,7,Mobile,44,0,2022,2022-03,False
412,1355,6,2022-01-20,14,Mobile,150,1,2022,2022-01,False
413,776,447,2024-03-22,8,TV,89,1,2024,2024-03,False
414,792,53,2023-05-08,19,Tablet,116,1,2023,2023-05,True
415,159,373,2022-07-20,11,Mobile,60,0,2022,2022-07,False
